('R001', 'H001', '12345678A', datetime.date(2023, 4, 1), datetime.date(2023, 3, 20), Decimal('3'), Decimal('2'), Decimal('2'), Decimal('1'), Decimal('100.00'))
('R002', 'H002', '87654321B', datetime.date(2023, 4, 15), datetime.date(2023, 3, 25), Decimal('5'), Decimal('1'), Decimal('2'), Decimal('2'), Decimal('150.00'))
('R003', 'H003', '11223344C', datetime.date(2023, 5, 10), datetime.date(2023, 4, 20), Decimal('2'), Decimal('3'), Decimal('1'), Decimal('0'), Decimal('90.00'))
('R004', 'H004', '44332211D', datetime.date(2022, 12, 25), datetime.date(2022, 11, 30), Decimal('7'), Decimal('1'), Decimal('2'), Decimal('3'), Decimal('60.00'))
('R005', 'H001', '55667788E', datetime.date(2023, 4, 20), datetime.date(2023, 3, 15), Decimal('4'), Decimal('1'), Decimal('1'), Decimal('0'), Decimal('120.00'))
('R006', 'H005', '12345678A', datetime.date(2023, 4, 25), datetime.date(2023, 4, 10), Decimal('3'), Decimal('1'), Decimal('2'), Decimal('2'), Decimal('110.00'))
('R007', 'H001', '11223344C', datetime.date(2023, 3, 15), datetime.date(2023, 2, 20), Decimal('5'), Decimal('2'), Decimal('1'), Decimal('1'), Decimal('110.00'))
('R008', 'H002', '44332211D', datetime.date(2023, 6, 5), datetime.date(2023, 5, 20), Decimal('3'), Decimal('1'), Decimal('2'), Decimal('0'), Decimal('160.00'))
('R009', 'H003', '12345678A', datetime.date(2022, 12, 10), datetime.date(2022, 11, 25), Decimal('4'), Decimal('3'), Decimal('2'), Decimal('2'), Decimal('85.00'))
('R010', 'H004', '87654321B', datetime.date(2022, 11, 15), datetime.date(2022, 10, 30), Decimal('2'), Decimal('1'), Decimal('2'), Decimal('1'), Decimal('70.00'))
('R011', 'H005', '55667788E', datetime.date(2023, 7, 1), datetime.date(2023, 6, 15), Decimal('6'), Decimal('2'), Decimal('2'), Decimal('3'), Decimal('95.00'))
('R012', 'H001', '11223344C', datetime.date(2023, 8, 20), datetime.date(2023, 7, 25), Decimal('7'), Decimal('1'), Decimal('1'), Decimal('0'), Decimal('100.00'))
('R013', 'H002', '44332211D', datetime.date(2023, 9, 5), datetime.date(2023, 8, 1), Decimal('10'), Decimal('2'), Decimal('2'), Decimal('2'), Decimal('180.00'))
('R014', 'H003', '12345678A', datetime.date(2022, 7, 25), datetime.date(2022, 7, 10), Decimal('5'), Decimal('2'), Decimal('2'), Decimal('0'), Decimal('75.00'))
('R015', 'H004', '55667788E', datetime.date(2023, 12, 25), datetime.date(2023, 12, 1), Decimal('14'), Decimal('1'), Decimal('2'), Decimal('2'), Decimal('65.00'))
